Article Index,Addresses
322,", 10401 Armory Ave . ,;, 125 Michigan Ave . NE .;, 89 Chain Bridge Rd . ,;, 1400 Quincy St . NE . , 1400 Quincy St . NE .;, 8900 Little River Tpk . ,;, 7701 Bradley Blvd . ,;, 3737 Seminary Rd . ,;, 1725 Rhode Island Ave . NW .;, 3410 Woodburn Rd . ,;, 1525 H St . NW .;, 6045 16th St . NW .;, 1125 Spa Rd . ,;, 11508 North Shore Dr . ,;, 6037 Franconia Rd . , , 6037 Franconia Rd . , , 6037 Franconia Rd . ,;, 3240 O St . NW .;, 5312 Connecticut Ave . NW .;, 7400 Temple Hills Rd . ,;;, 15300 New Hampshire Ave . ,;, 1317 G St . NW . , 1317 G St . NW .;, 400 Michigan Ave . NE .;, 9801 Livingston Rd . ,;, 8070 Harriet Tubman Lane , , 8070 Harriet Tubman Lane ,;, 509 I St . NE .;;, 901 G St . NW .;, 3115 P St . NW .;, 6037 Franconia Rd . , , 6037 Franconia Rd . , , 6037 Franconia Rd . ,;, 3001 Wisconsin Ave . NW .;;, 8070 Harriet Tubman Lane , , 8070 Harriet Tubman Lane ,;, 4444 Old Branch Ave . ,;, 8710 Old Branch Ave . ,;, 2709 Hunter Mill Rd . ,;, 1317 G St . NW . , 1317 G St . NW .;, 1400 Quincy St . NE . , 1400 Quincy St . NE .;, 4444 Old Branch Ave . ,;;, Fairfax Drive and North;and North Nelson Street ,"
323,", 10401 Armory Ave . ,;, 125 Michigan Ave . NE .;, 89 Chain Bridge Rd . ,;, 1400 Quincy St . NE . , 1400 Quincy St . NE .;, 8900 Little River Tpk . ,;, 7701 Bradley Blvd . ,;, 3737 Seminary Rd . ,;, 1725 Rhode Island Ave . NW .;, 3410 Woodburn Rd . ,;, 1525 H St . NW .;, 6045 16th St . NW .;, 1125 Spa Rd . ,;, 11508 North Shore Dr . ,;, 6037 Franconia Rd . , , 6037 Franconia Rd . , , 6037 Franconia Rd . ,;, 3240 O St . NW .;, 5312 Connecticut Ave . NW .;, 7400 Temple Hills Rd . ,;;, 15300 New Hampshire Ave . ,;, 1317 G St . NW . , 1317 G St . NW .;, 400 Michigan Ave . NE .;, 9801 Livingston Rd . ,;, 8070 Harriet Tubman Lane , , 8070 Harriet Tubman Lane ,;, 509 I St . NE .;;, 901 G St . NW .;, 3115 P St . NW .;, 6037 Franconia Rd . , , 6037 Franconia Rd . , , 6037 Franconia Rd . ,;, 3001 Wisconsin Ave . NW .;;, 8070 Harriet Tubman Lane , , 8070 Harriet Tubman Lane ,;, 4444 Old Branch Ave . ,;, 8710 Old Branch Ave . ,;, 2709 Hunter Mill Rd . ,;, 1317 G St . NW . , 1317 G St . NW .;, 1400 Quincy St . NE . , 1400 Quincy St . NE .;, 4444 Old Branch Ave . ,;;, Fairfax Drive and North;and North Nelson Street ,"
324,", 741 Eighth St . SE ,;on East Capitol Street ."
325,revived U Street at venues
330,", 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW .;, 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW .;, 1017 Seventh St . NW .;, 3701 Mount Vernon Ave . , , 3701 Mount Vernon Ave . ,;, 1073 Wisconsin Ave . NW .;, 815 V St . NW . , 815 V St . NW .;, 8230 Georgia Ave . ,;, 3550 Wilson Blvd . ,;, 1250 New York Ave . NW .;, 1201 17th St . NW .;, 401 F St . NW .;, 1730 Connecticut Ave . NW .;;, 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW .;, 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW . , 2700 F St . NW .;, 3806 S . Four Mile Run Dr . ,;, 4400 University Dr . ,;, 14900 Pennsylvania Ave . ,;, 1 W . Pratt St . ,;, 601 F St . NW ."
350,'s E Street Cinema .
357,"of Sixth Street and Pennsylvania;down Pennsylvania Avenue toward and Pennsylvania Avenue , on Pennsylvania Avenue .;down Pennsylvania Avenue toward and Pennsylvania Avenue , on Pennsylvania Avenue .;down Pennsylvania Avenue toward Judiciary"
365,on Hawaii Avenue in
369,", 1212 H St . NE .;, 815 V St . NW . , 815 V St . NW .;, 1811 14th St . NW . , 1811 14th St . NW .;, 815 V St . NW . , 815 V St . NW .;, 3701 Mount Vernon Ave . ,;, 7235 Woodmont Ave . , , 7235 Woodmont Ave . ,;, 600 I St . NW . , 600 I St . NW .;, 7800 Cellar Door Dr . ,;, 3550 Wilson Blvd . ,;, 4728 Hampden Lane ,;, 600 N . Charles St . ,;, 600 I St . NW . , 600 I St . NW .;, 6710 Oxon Hill Rd . ,;, 8633 Colesville Rd . , , 8633 Colesville Rd . ,;, 7235 Woodmont Ave . , , 7235 Woodmont Ave . ,;, 7235 Woodmont Ave . , , 7235 Woodmont Ave . ,;, 555 11th St . NW . , 555 11th St . NW . , 555 11th St . NW .;, 555 11th St . NW . , 555 11th St . NW . , 555 11th St . NW .;, 8633 Colesville Rd . , , 8633 Colesville Rd . ,;, 1835 14th St . NW .;, 4200 S . Campbell Ave . ,;, 2001 Olney -Sandy Spring Rd . ,;, 1611 N . Kent St . ,;, 10901 Little Patuxent Pkwy . ,;, 1215 U St . NW .;, 601 F St . NW ."
372,negotiate 18th Street after a
